Time,Channel A
(ms),(mV)

16.46591990,1.81890300
16.47103990,5.52995400
16.47615990,-0.03662221
16.48127990,-0.03662221
16.48639990,-3.74767300
16.49151990,-1.89214800
16.49663990,5.52995400
16.50175990,-1.89214800
16.50687990,-1.89214800
16.51199990,5.52995400
16.51711990,-0.03662221
16.52223990,-9.31424900
16.52735990,-1.89214800
16.53247990,5.52995400
16.53759990,-1.89214800
16.54271990,3.67442800
16.54783990,5.52995400
16.55295990,-1.89214800
16.55807990,-3.74767300
16.56319990,-1.89214800
16.56831990,-0.03662221
16.57343990,3.67442800
16.57855990,1.81890300
16.58367990,1.81890300
16.58879990,1.81890300
16.59391990,-7.45872400
16.59903990,-1.89214800
16.60415990,3.67442800
16.60927990,-5.60319800
16.61439990,7.38547900
16.61951990,5.52995400
16.62463990,-0.03662221
16.62975990,-5.60319800
16.63487990,-5.60319800
16.63999990,3.67442800
16.64511990,1.81890300
16.65023990,-1.89214800
16.65535990,5.52995400
16.66047990,-0.03662221
16.66559990,1.81890300
16.67071990,-9.31424900
16.67583990,-3.74767300
16.68095990,3.67442800
16.68607990,1.81890300
16.69119990,5.52995400
16.69631990,-3.74767300
16.70143990,-1.89214800
16.70655990,1.81890300
16.71167990,-1.89214800
16.71679990,-0.03662221
16.72191990,1.81890300
16.72703990,5.52995400
16.73215990,3.67442800
16.73727990,-5.60319800
16.74239990,-5.60319800
16.74751990,-5.60319800
16.75263990,5.52995400
16.75775990,-0.03662221
16.76287990,3.67442800
16.76799990,-0.03662221
16.77311990,1.81890300
16.77823990,-5.60319800
16.78335990,-1.89214800
16.78847990,1.81890300
16.79359990,-0.03662221
16.79871990,3.67442800
16.80383990,-0.03662221
16.80895990,1.81890300
16.81407990,-3.74767300
16.81919990,-5.60319800
16.82431990,3.67442800
16.82943990,-1.89214800
16.83455990,5.52995400
16.83967990,5.52995400
16.84479990,-3.74767300
16.84991990,3.67442800
16.85503990,-5.60319800
16.86015990,1.81890300
16.86527990,-1.89214800
16.87039990,5.52995400
16.87551990,5.52995400
16.88063990,-0.03662221
16.88575990,-9.31424900
16.89087990,-1.89214800
16.89599990,1.81890300
16.90111990,-0.03662221
16.90623990,-0.03662221
16.91135990,5.52995400
16.91647990,3.67442800
16.92159990,-5.60319800
16.92671990,-1.89214800
16.93183990,5.52995400
16.93695990,-0.03662221
16.94207990,1.81890300
16.94719990,5.52995400
16.95231990,-1.89214800
16.95743990,-3.74767300
16.96255990,-1.89214800
16.96767990,-1.89214800
16.97279990,-1.89214800
16.97791990,5.52995400
16.98303990,1.81890300
16.98815990,3.67442800
16.99327990,-3.74767300
16.99839990,-1.89214800
17.00351990,1.81890300
17.00863990,5.52995400
17.01375990,1.81890300
17.01887990,5.52995400
17.02399990,-1.89214800
17.02911990,-0.03662221
17.03423990,-5.60319800
17.03935990,-5.60319800
17.04447990,-0.03662221
17.04959990,1.81890300
17.05471990,3.67442800
17.05983990,1.81890300
17.06495990,-1.89214800
17.07007990,-1.89214800
17.07519990,-0.03662221
17.08031990,1.81890300
17.08543990,5.52995400
17.09055990,5.52995400
17.09567990,7.38547900
17.10079990,-5.60319800
17.10591990,-5.60319800
17.11103990,-5.60319800
17.11615990,1.81890300
17.12127990,1.81890300
17.12639990,1.81890300
17.13151990,3.67442800
17.13663990,1.81890300
17.14175990,-0.03662221
17.14687990,-5.60319800
17.15199990,1.81890300
17.15711990,1.81890300
17.16223990,3.67442800
17.16735990,3.67442800
17.17247990,1.81890300
17.17759990,-1.89214800
17.18271990,-5.60319800
17.18783990,-0.03662221
17.19295990,-1.89214800
17.19807990,5.52995400
17.20319990,5.52995400
17.20831990,-1.89214800
17.21343990,1.81890300
17.21855990,-1.89214800
17.22367990,-1.89214800
17.22879990,5.52995400
17.23391990,-1.89214800
17.23903990,7.38547900
17.24415990,-0.03662221
17.24927990,-1.89214800
17.25439990,-7.45872400
17.25951990,-1.89214800
17.26463990,3.67442800
17.26975990,1.81890300
17.27487990,3.67442800
17.27999989,3.67442800
17.28511989,-1.89214800
17.29023989,1.81890300
17.29535989,-1.89214800
17.30047989,3.67442800
17.30559989,-0.03662221
17.31071989,5.52995400
17.31583989,5.52995400
17.32095989,-5.60319800
17.32607989,-1.89214800
17.33119989,-5.60319800
17.33631989,1.81890300
17.34143989,3.67442800
17.34655989,-0.03662221
17.35167989,5.52995400
17.35679989,-1.89214800
17.36191989,1.81890300
17.36703989,-1.89214800
17.37215989,-1.89214800
17.37727989,1.81890300
17.38239989,3.67442800
17.38751989,1.81890300
17.39263989,-0.03662221
17.39775989,-3.74767300
17.40287989,-5.60319800
17.40799989,-0.03662221
17.41311989,5.52995400
17.41823989,-1.89214800
17.42335989,5.52995400
17.42847989,-1.89214800
17.43359989,-5.60319800
17.43871989,-1.89214800
17.44383989,3.67442800
17.44895989,-1.89214800
17.45407989,-3.74767300
17.45919989,12.95205000
17.46431989,5.52995400
17.46943989,-5.60319800
17.47455989,-9.31424900
17.47967989,1.81890300
17.48479989,1.81890300
17.48991989,1.81890300
17.49503989,1.81890300
17.50015989,3.67442800
17.50527989,-1.89214800
17.51039989,-1.89214800
17.51551989,-1.89214800
17.52063989,-1.89214800
17.52575989,5.52995400
17.53087989,5.52995400
17.53599989,3.67442800
17.54111989,-5.60319800
17.54623989,-5.60319800
17.55135989,3.67442800
17.55647989,1.81890300
17.56159989,-1.89214800
17.56671989,5.52995400
17.57183989,5.52995400
17.57695989,-1.89214800
17.58207989,-3.74767300
17.58719989,-0.03662221
17.59231989,-1.89214800
17.59743989,1.81890300
17.60255989,7.38547900
17.60767989,5.52995400
17.61279989,-5.60319800
17.61791989,-1.89214800
17.62303989,-1.89214800
17.62815989,-1.89214800
17.63327989,-1.89214800
17.63839989,3.67442800
17.64351989,5.52995400
17.64863989,-0.03662221
17.65375989,-0.03662221
17.65887989,-7.45872400
17.66399989,3.67442800
17.66911989,1.81890300
17.67423989,1.81890300
17.67935989,1.81890300
17.68447989,-1.89214800
17.68959989,-0.03662221
17.69471989,-7.45872400
17.69983989,-1.89214800
17.70495989,5.52995400
17.71007989,1.81890300
17.71519989,3.67442800
17.72031989,5.52995400
17.72543989,1.81890300
17.73055989,-7.45872400
17.73567989,1.81890300
17.74079989,3.67442800
17.74591989,-1.89214800
17.75103989,5.52995400
17.75615989,1.81890300
17.76127989,1.81890300
17.76639989,-11.16978000
17.77151989,-3.74767300
17.77663989,5.52995400
17.78175989,1.81890300
17.78687989,1.81890300
17.79199989,5.52995400
17.79711989,1.81890300
17.80223989,-1.89214800
17.80735989,-3.74767300
17.81247989,5.52995400
17.81759989,1.81890300
17.82271989,-3.74767300
17.82783989,5.52995400
17.83295989,5.52995400
17.83807989,-13.02530000
